url,name,ingredient
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 gms coconut flakes
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 gms oatmeal
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,400 gms almonds
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 gms dates
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,400 gms cashews
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 gms coconut
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 ml coconut milk
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 ml liquid coconut oil
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,125 ml lime juice
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,60 gms coconut sugar
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,5 gms tonka bean
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,200 gms mango
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,15 gms lime juice
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,100 gms Ripe mango (cut into cubes)
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,50 gms Greek feta cheese
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,5 ml White wine vinegar
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,100 gms carrot
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,68 gms flour
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,68 gms castor sugar
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,1  Egg
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,68 gms oil
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,2 gms baking soda
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,2 gms baking powder
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,2 gms salt
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,48 gms walnut
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,2 gms cinnamon
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,15-20  Saffron strands
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,50 ml cold milk
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,500 gms yogurt
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,100 gms powdered sugar
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,1 tsp cardamom powder
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,for garnishing dry fruit slivers
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,2 Litre water
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,2 pinches of  asafoetida
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1 tsp turmeric powder
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1/4 tsp red chilli powder
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1 tbsp yellow mustard
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1 tsp salt
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1 tsp black salt
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,1 tbsp mustard oil
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,100 gms moong dal
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,to taste salt
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,oil for frying
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,1.5 Litre milk
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,150  sugar
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,50  pistachio
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,0.2  saffron
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,50  thandai syrup
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,300  refined flour
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,100  ghee
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,100  water
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,3  salt
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,60  dark chocolate
